campaign_name,campaign_logo,automation,last_updated_at,code,date,original_currency,country,customer_type,ad_set,month,month_number,order_id,aov,net_orders,net_revenue,net_sales_amount,net_sales_amount_usd,net_aov_usd,orders,revenue,sales_amount,sales_amount_usd,aov_usd
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,CM11,05-01-22,AED,SAU,na,10%,Jan-22,Jan-22,19995,100+,1,2.5,203.6034,55.4399842,55.4399842,0,0,0,0,
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY61,30-01-22,AED,SAU,na,10%,Jan-22,Jan-22,131009,100+,3,7.5,652.5200067,177.6772827,59.2257609,0,0,0,0,
Bath and Body Works GCC,https://dl.airtable.com/.attachments/b3213fcdafa9b3b6bf76481479b10e14/5b137eed/bbw.png,data_studio,17-06-22 9:37,A092,10-01-22,USD,SAU,RETURNING,5%,Jan-22,Jan-22,3596,na,4,7.2,162.2693445,162.2693445,40.56733613,0,0,0,0,
Bath and Body Works GCC,https://dl.airtable.com/.attachments/b3213fcdafa9b3b6bf76481479b10e14/5b137eed/bbw.png,data_studio,17-06-22 9:37,A049,18-01-22,USD,SAU,RETURNING,5%,Jan-22,Jan-22,5026,na,1,1.8,76.18486818,76.18486818,76.18486818,0,0,0,0,
Bath and Body Works GCC,https://dl.airtable.com/.attachments/b3213fcdafa9b3b6bf76481479b10e14/5b137eed/bbw.png,data_studio,17-06-22 9:37,Y7696,06-01-22,USD,SAU,RETURNING,5%,Jan-22,Jan-22,2887,na,1,1.8,31.48736435,31.48736435,31.48736435,0,0,0,0,
Bath and Body Works GCC,https://dl.airtable.com/.attachments/b3213fcdafa9b3b6bf76481479b10e14/5b137eed/bbw.png,data_studio,17-06-22 9:37,Y9678,30-01-22,USD,SAU,RETURNING,5%,Jan-22,Jan-22,6935,na,1,1.8,33.90762396,33.90762396,33.90762396,0,0,0,0,
Eyewa,https://dl.airtable.com/.attachments/70d87e110420491e7c39517ef0484010/a689b6da/512x512bb.jpg,RTD,17-06-22 9:37,ZZ109,06-01-22,usd,ARE,na,,Jan-22,Jan-22,799,na,1,7,109.888,109.888,109.888,0,0,0,0,
NowNow,https://cdn.arabyads.com/boostiny//campaigns/November2021/NUI811HDz9BLKysWKyO0.png,data_studio,17-06-22 9:37,ON16,18-01-22,aed,ARE,na,5% Up to AED10 Min Spend AED20,Jan-22,Jan-22,4260,na,1,1.3,0,0,0,0,0,0,0,
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,SIV,11-01-22,USD,ARE,na,,Jan-22,Jan-22,9834,na,1,6.81,75.64032698,75.64032698,75.64032698,0,0,0,0,
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,SIV,05-01-22,USD,ARE,na,,Jan-22,Jan-22,4587,na,1,2.41,26.79836512,26.79836512,26.79836512,0,0,0,0,
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,SS10,30-01-22,USD,SAU,na,20%,Jan-22,Jan-22,26630,na,4,20.72,230.2767575,230.2767575,57.56918937,0,0,0,0,
